source,variant,hash_scheme,m,k,n,num_query,empirical_fpr,theoretical_fpr,no_false_negatives,insert_ms,query_ms,insert_energy_mj,query_energy_mj,insert_eps,query_eps
fpga-style,pim-v3,xor-shift-mul,8192,3,500,100000,0.004650,0.004684,PASS,0.0035,0.0440,0.0218,0.2669,142857142.86,2270611475.67
fpga-style,pim-v3,murmur3,8192,3,500,100000,0.004950,0.004684,PASS,0.0197,0.0671,0.0654,0.3659,25412960.61,1490090895.54
fpga-style,pim-v3,pim-no-mul,8192,3,500,100000,0.004910,0.004684,PASS,0.0370,0.1051,0.1163,0.5816,13527406.53,951728338.66
fpga-style,pim-v3,xor-shift-mul,8192,3,2000,100000,0.139700,0.140006,PASS,0.0501,0.0903,0.1397,0.3825,39893086.53,1106831363.17
fpga-style,pim-v3,murmur3,8192,3,2000,100000,0.143080,0.140006,PASS,0.0666,0.1136,0.1845,0.4820,30022366.66,880010560.13
fpga-style,pim-v3,pim-no-mul,8192,3,2000,100000,0.139280,0.140006,PASS,0.0844,0.1518,0.2377,0.6983,23701175.58,658696439.75
fpga-style,pim-v3,xor-shift-mul,8192,3,4000,100000,0.454130,0.454554,PASS,0.0977,0.1374,0.2615,0.4999,40931184.45,727897395.58
fpga-style,pim-v3,murmur3,8192,3,4000,100000,0.457920,0.454554,PASS,0.1146,0.1610,0.3081,0.6001,34890313.58,621272365.81
fpga-style,pim-v3,pim-no-mul,8192,3,4000,100000,0.448700,0.454554,PASS,0.1331,0.1994,0.3655,0.8171,30042209.30,501426558.56
fpga-style,pim-v4,xor-shift-mul,8192,3,500,100000,0.004650,0.004684,PASS,0.0033,0.0292,0.0212,0.2298,152532031.73,3425478710.65
fpga-style,pim-v4,murmur3,8192,3,500,100000,0.004950,0.004684,PASS,0.0041,0.0369,0.0265,0.2905,122249388.75,2710100544.73
fpga-style,pim-v4,pim-no-mul,8192,3,500,100000,0.004910,0.004684,PASS,0.0060,0.0595,0.0390,0.4678,83125519.53,1680728763.99
fpga-style,pim-v4,xor-shift-mul,8192,3,2000,100000,0.139700,0.140006,PASS,0.0036,0.0292,0.0236,0.2298,554631170.27,3425478710.65
fpga-style,pim-v4,murmur3,8192,3,2000,100000,0.143080,0.140006,PASS,0.0045,0.0369,0.0294,0.2905,443655723.16,2710100544.73
fpga-style,pim-v4,pim-no-mul,8192,3,2000,100000,0.139280,0.140006,PASS,0.0067,0.0595,0.0438,0.4678,298775022.41,1680728763.99
fpga-style,pim-v4,xor-shift-mul,8192,3,4000,100000,0.454130,0.454554,PASS,0.0042,0.0292,0.0279,0.2298,960845544.08,3425478710.65
fpga-style,pim-v4,murmur3,8192,3,4000,100000,0.457920,0.454554,PASS,0.0052,0.0369,0.0350,0.2905,767606985.22,2710100544.73
fpga-style,pim-v4,pim-no-mul,8192,3,4000,100000,0.448700,0.454554,PASS,0.0078,0.0595,0.0528,0.4678,510269166.99,1680728763.99
bloom-cpp,cpu,multiplicative,8192,3,500,500,0.004000,0.004684,PASS,0.0100,0.0046,0.0000,0.0000,50215928.49,107665805.34
