hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
multiplicative,cpu,1048576,3,0.0625,65536,72514506.00,57557646.79,0.007477,0.0000,0.0000
multiplicative,cpu,1048576,3,0.1250,131072,48683229.19,32855222.40,0.035995,0.0000,0.0000
multiplicative,cpu,1048576,3,0.2500,262144,58236699.45,55245596.16,0.158165,0.0000,0.0000
multiplicative,cpu,1048576,5,0.0625,65536,57727846.89,45293576.13,0.001953,0.0000,0.0000
multiplicative,cpu,1048576,5,0.1250,131072,53141598.89,41004130.70,0.025269,0.0000,0.0000
multiplicative,cpu,1048576,5,0.2500,262144,51375509.58,38843237.76,0.192093,0.0000,0.0000
multiplicative,cpu,1048576,7,0.0625,65536,42945730.03,32374568.06,0.000961,0.0000,0.0000
multiplicative,cpu,1048576,7,0.1250,131072,41533052.29,31307893.76,0.025818,0.0000,0.0000
multiplicative,cpu,1048576,7,0.2500,262144,45687348.47,35564744.85,0.267872,0.0000,0.0000
multiplicative,cpu,8388608,3,0.0625,524288,32696664.05,31458542.12,0.007355,0.0000,0.0000
multiplicative,cpu,8388608,3,0.1250,1048576,36361261.95,22884261.65,0.036747,0.0000,0.0000
multiplicative,cpu,8388608,3,0.2500,2097152,31565999.77,29491270.13,0.156799,0.0000,0.0000
multiplicative,cpu,8388608,5,0.0625,524288,23894696.86,20622665.34,0.002062,0.0000,0.0000
multiplicative,cpu,8388608,5,0.1250,1048576,21135528.74,19855028.47,0.024566,0.0000,0.0000
multiplicative,cpu,8388608,5,0.2500,2097152,22439827.96,11843048.70,0.190623,0.0000,0.0000
multiplicative,cpu,8388608,7,0.0625,524288,20825431.27,15745868.18,0.000975,0.0000,0.0000
multiplicative,cpu,8388608,7,0.1250,1048576,21961797.20,15897039.89,0.025012,0.0000,0.0000
multiplicative,cpu,8388608,7,0.2500,2097152,18330157.34,12156147.96,0.266529,0.0000,0.0000
multiplicative,cpu,67108864,3,0.0625,4194304,10379419.42,7606570.85,0.007485,0.0000,0.0000
multiplicative,cpu,67108864,3,0.1250,8388608,15287286.04,10896169.88,0.036929,0.0000,0.0000
multiplicative,cpu,67108864,3,0.2500,16777216,15280970.64,10810288.48,0.157140,0.0000,0.0000
multiplicative,cpu,67108864,5,0.0625,4194304,9469873.95,7458353.28,0.002112,0.0000,0.0000
multiplicative,cpu,67108864,5,0.1250,8388608,9461602.01,7416313.03,0.024888,0.0000,0.0000
multiplicative,cpu,67108864,5,0.2500,16777216,9500056.42,7248950.11,0.190808,0.0000,0.0000
multiplicative,cpu,67108864,7,0.0625,4194304,6461726.05,5749575.12,0.001029,0.0000,0.0000
multiplicative,cpu,67108864,7,0.1250,8388608,6608341.84,5917428.00,0.025068,0.0000,0.0000
multiplicative,cpu,67108864,7,0.2500,16777216,7139925.15,6070972.24,0.266425,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.0625,65536,62537931.56,53836075.00,0.005142,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.1250,131072,68287259.54,58146844.38,0.030296,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.2500,262144,49972606.42,46093846.16,0.146652,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.0625,65536,45971238.51,39873569.83,0.001373,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.1250,131072,51042525.83,45068500.88,0.021553,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.2500,262144,33147526.75,32980215.32,0.185810,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.0625,65536,38715356.24,33292709.75,0.000671,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.1250,131072,41957204.75,35586195.36,0.022964,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.2500,262144,29472658.38,26100336.31,0.263317,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.0625,524288,16249075.30,14549796.30,0.004908,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.1250,1048576,16253347.47,14531861.57,0.030667,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.2500,2097152,18487643.69,15889606.44,0.146279,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.0625,524288,10635266.32,9773004.06,0.001316,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.1250,1048576,10813684.55,6894517.38,0.021815,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.2500,2097152,14179648.37,11667439.76,0.184640,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.0625,524288,8242902.76,7380480.84,0.000717,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.1250,1048576,8329973.52,7368045.05,0.022876,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.2500,2097152,10020257.56,8265691.74,0.262410,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.0625,4194304,15081385.83,12596427.24,0.005003,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.1250,8388608,15376222.21,12796630.98,0.030647,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.2500,16777216,15617309.33,12799060.27,0.146889,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.0625,4194304,9216256.29,8373375.51,0.001420,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.1250,8388608,9319152.04,8499902.87,0.021719,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.2500,16777216,9282751.02,8312413.57,0.184951,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.0625,4194304,6877759.78,6315932.04,0.000701,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.1250,8388608,6903623.55,6408198.51,0.022931,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.2500,16777216,6780848.15,6399596.95,0.262819,0.0000,0.0000
murmur3,cpu,1048576,3,0.0625,65536,63721529.45,42094445.30,0.005203,0.0000,0.0000
murmur3,cpu,1048576,3,0.1250,131072,63820629.13,45847998.38,0.030746,0.0000,0.0000
murmur3,cpu,1048576,3,0.2500,262144,57671166.73,37545204.95,0.147015,0.0000,0.0000
murmur3,cpu,1048576,5,0.0625,65536,46584329.96,30289025.04,0.001328,0.0000,0.0000
murmur3,cpu,1048576,5,0.1250,131072,47853943.83,33342711.65,0.022095,0.0000,0.0000
murmur3,cpu,1048576,5,0.2500,262144,42525903.43,26274663.57,0.185848,0.0000,0.0000
murmur3,cpu,1048576,7,0.0625,65536,36652895.36,24071603.62,0.000519,0.0000,0.0000
murmur3,cpu,1048576,7,0.1250,131072,39048758.51,25968000.03,0.023026,0.0000,0.0000
murmur3,cpu,1048576,7,0.2500,262144,34444680.96,21305679.99,0.263954,0.0000,0.0000
murmur3,cpu,8388608,3,0.0625,524288,26300564.59,17773410.24,0.005144,0.0000,0.0000
murmur3,cpu,8388608,3,0.1250,1048576,23991774.98,15289765.92,0.030930,0.0000,0.0000
murmur3,cpu,8388608,3,0.2500,2097152,21593509.60,10993963.03,0.147609,0.0000,0.0000
murmur3,cpu,8388608,5,0.0625,524288,17888402.95,10511696.35,0.001577,0.0000,0.0000
murmur3,cpu,8388608,5,0.1250,1048576,17997572.97,10575900.20,0.021894,0.0000,0.0000
murmur3,cpu,8388608,5,0.2500,2097152,22734698.64,13570533.03,0.185433,0.0000,0.0000
murmur3,cpu,8388608,7,0.0625,524288,16537867.81,10235831.10,0.000982,0.0000,0.0000
murmur3,cpu,8388608,7,0.1250,1048576,14472202.79,8834836.81,0.023427,0.0000,0.0000
murmur3,cpu,8388608,7,0.2500,2097152,12689902.39,7720082.71,0.263697,0.0000,0.0000
murmur3,cpu,67108864,3,0.0625,4194304,15382728.30,9927663.28,0.006189,0.0000,0.0000
murmur3,cpu,67108864,3,0.1250,8388608,15790631.85,9990695.86,0.032664,0.0000,0.0000
murmur3,cpu,67108864,3,0.2500,16777216,14926496.49,9235257.89,0.149699,0.0000,0.0000
murmur3,cpu,67108864,5,0.0625,4194304,9650307.01,6693557.30,0.003008,0.0000,0.0000
murmur3,cpu,67108864,5,0.1250,8388608,9691370.04,6770114.85,0.025227,0.0000,0.0000
murmur3,cpu,67108864,5,0.2500,16777216,9483689.83,6855682.66,0.189449,0.0000,0.0000
murmur3,cpu,67108864,7,0.0625,4194304,6895584.19,5363758.20,0.002677,0.0000,0.0000
murmur3,cpu,67108864,7,0.1250,8388608,6782715.94,5489199.72,0.027904,0.0000,0.0000
murmur3,cpu,67108864,7,0.2500,16777216,6904701.45,5342696.57,0.268098,0.0000,0.0000
xor-shift,cpu,1048576,3,0.0625,65536,62890088.21,46115707.25,0.069992,0.0000,0.0000
xor-shift,cpu,1048576,3,0.1250,131072,65855034.72,45200093.66,0.150826,0.0000,0.0000
xor-shift,cpu,1048576,3,0.2500,262144,60204693.75,41506517.61,0.317509,0.0000,0.0000
xor-shift,cpu,1048576,5,0.0625,65536,45644208.35,32638620.51,0.066223,0.0000,0.0000
xor-shift,cpu,1048576,5,0.1250,131072,48588645.03,33290460.49,0.147850,0.0000,0.0000
xor-shift,cpu,1048576,5,0.2500,262144,45561925.31,28652445.15,0.355667,0.0000,0.0000
xor-shift,cpu,1048576,7,0.0625,65536,37722403.95,24343567.62,0.063492,0.0000,0.0000
xor-shift,cpu,1048576,7,0.1250,131072,39513949.96,25277484.96,0.148651,0.0000,0.0000
xor-shift,cpu,1048576,7,0.2500,262144,37565946.12,22463924.29,0.405075,0.0000,0.0000
xor-shift,cpu,8388608,3,0.0625,524288,26691480.86,19632845.77,0.070992,0.0000,0.0000
xor-shift,cpu,8388608,3,0.1250,1048576,37612236.23,27535033.20,0.151753,0.0000,0.0000
xor-shift,cpu,8388608,3,0.2500,2097152,23330957.32,15743178.94,0.318725,0.0000,0.0000
xor-shift,cpu,8388608,5,0.0625,524288,24272885.89,15596847.11,0.066605,0.0000,0.0000
xor-shift,cpu,8388608,5,0.1250,1048576,28246021.96,18924353.46,0.149148,0.0000,0.0000
xor-shift,cpu,8388608,5,0.2500,2097152,18936468.82,11490798.12,0.355693,0.0000,0.0000
xor-shift,cpu,8388608,7,0.0625,524288,16994936.64,10792080.47,0.064302,0.0000,0.0000
xor-shift,cpu,8388608,7,0.1250,1048576,21433588.74,14810240.27,0.148922,0.0000,0.0000
xor-shift,cpu,8388608,7,0.2500,2097152,12945345.08,7923594.64,0.405054,0.0000,0.0000
