hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
multiplicative,cpu,8388608,3,0.1250,1048576,19085393.75,7537091.57,0.036747,0.0000,0.0000
multiplicative,cpu,8388608,3,0.2500,2097152,41360759.91,26574834.14,0.156799,0.0000,0.0000
multiplicative,cpu,8388608,5,0.1250,1048576,20043916.79,17680649.08,0.024566,0.0000,0.0000
multiplicative,cpu,8388608,5,0.2500,2097152,25475909.12,21036032.67,0.190623,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.1250,1048576,39229455.40,31403968.62,0.030667,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.2500,2097152,32642441.87,26322663.80,0.146279,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.1250,1048576,26953738.35,22564918.72,0.021815,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.2500,2097152,28489734.42,20370274.05,0.184640,0.0000,0.0000
five-cycle,cpu,8388608,3,0.1250,1048576,37654872.95,23076123.37,0.030516,0.0000,0.0000
five-cycle,cpu,8388608,3,0.2500,2097152,40162301.39,17875246.03,0.147169,0.0000,0.0000
five-cycle,cpu,8388608,5,0.1250,1048576,28379989.75,12709428.10,0.021728,0.0000,0.0000
five-cycle,cpu,8388608,5,0.2500,2097152,23882523.54,14586624.10,0.184542,0.0000,0.0000
multiplicative,pim-v2,8388608,3,0.1250,1048576,9539620444.33,13743885495.58,0.036747,0.4515,0.1904
multiplicative,pim-v2,8388608,3,0.2500,2097152,19079240888.66,27487770991.17,0.156799,0.4515,0.1904
multiplicative,pim-v2,8388608,5,0.1250,1048576,9539707233.64,13743885495.58,0.024566,0.4515,0.1904
multiplicative,pim-v2,8388608,5,0.2500,2097152,19079240888.66,27487770991.17,0.190623,0.4515,0.1904
multiplicative,pim-v3,8388608,3,0.1250,1048576,1907386151.76,2031647617.52,0.036747,2.2862,2.0251
multiplicative,pim-v3,8388608,3,0.2500,2097152,2119583552.74,2194151028.68,0.156799,4.1199,3.8588
multiplicative,pim-v3,8388608,5,0.1250,1048576,1323792450.45,1382475671.64,0.024566,3.3824,3.1213
multiplicative,pim-v3,8388608,5,0.2500,2097152,1422738420.31,1455951124.69,0.190623,6.3116,6.0505
kirsch-mitz,pim-v2,8388608,3,0.1250,1048576,9539620444.33,13743885495.58,0.030667,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,3,0.2500,2097152,19079240888.66,27487770991.17,0.146279,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,5,0.1250,1048576,9539620444.33,13743885495.58,0.021815,0.4515,0.1904
kirsch-mitz,pim-v2,8388608,5,0.2500,2097152,19079240888.66,27487770991.17,0.184640,0.4515,0.1904
kirsch-mitz,pim-v3,8388608,3,0.1250,1048576,1437823606.85,1507319709.74,0.030667,3.7028,3.4417
kirsch-mitz,pim-v3,8388608,3,0.2500,2097152,1555428809.62,1595209697.44,0.146279,6.9517,6.6906
kirsch-mitz,pim-v3,8388608,5,0.1250,1048576,967482577.81,998459332.28,0.021815,5.6792,5.4181
kirsch-mitz,pim-v3,8388608,5,0.2500,2097152,1019445349.15,1036385003.21,0.184640,10.9033,10.6422
five-cycle,pim-v2,8388608,3,0.1250,1048576,9539620444.33,13744065641.67,0.030516,0.4515,0.1904
five-cycle,pim-v2,8388608,3,0.2500,2097152,19079240888.66,27487770991.17,0.147169,0.4515,0.1904
five-cycle,pim-v2,8388608,5,0.1250,1048576,9539620444.33,13743885495.58,0.021728,0.4515,0.1904
five-cycle,pim-v2,8388608,5,0.2500,2097152,19079240888.66,27487770991.17,0.184542,0.4515,0.1904
five-cycle,pim-v3,8388608,3,0.1250,1048576,1027219087.94,1062206230.35,0.030516,5.9965,5.7354
five-cycle,pim-v3,8388608,3,0.2500,2097152,1085932625.28,1105174180.11,0.147169,11.5384,11.2773
five-cycle,pim-v3,8388608,5,0.1250,1048576,664843156.57,679325763.79,0.021728,9.5661,9.3050
five-cycle,pim-v3,8388608,5,0.2500,2097152,689022857.67,696719443.41,0.184542,18.6758,18.4147
