hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
multiplicative,cpu,1048576,3,0.0625,65536,67056369.06,51192721.03,0.007477,0.0000,0.0000
multiplicative,cpu,1048576,3,0.1250,131072,66753755.38,52430897.24,0.035995,0.0000,0.0000
multiplicative,cpu,1048576,3,0.2500,262144,67429227.27,51200890.02,0.158165,0.0000,0.0000
multiplicative,cpu,1048576,5,0.0625,65536,48840980.64,36507621.72,0.001953,0.0000,0.0000
multiplicative,cpu,1048576,5,0.1250,131072,51447652.12,38831488.37,0.025269,0.0000,0.0000
multiplicative,cpu,1048576,5,0.2500,262144,53145132.61,39235166.89,0.192093,0.0000,0.0000
multiplicative,cpu,1048576,7,0.0625,65536,40367854.04,30811906.14,0.000961,0.0000,0.0000
multiplicative,cpu,1048576,7,0.1250,131072,39408712.96,29149971.17,0.025818,0.0000,0.0000
multiplicative,cpu,1048576,7,0.2500,262144,40752499.73,29343401.32,0.267872,0.0000,0.0000
multiplicative,cpu,8388608,3,0.0625,524288,31347061.22,27886229.66,0.007355,0.0000,0.0000
multiplicative,cpu,8388608,3,0.1250,1048576,33717433.40,27223272.71,0.036747,0.0000,0.0000
multiplicative,cpu,8388608,3,0.2500,2097152,37270904.08,28022429.57,0.156799,0.0000,0.0000
multiplicative,cpu,8388608,5,0.0625,524288,22348874.90,16565059.73,0.002062,0.0000,0.0000
multiplicative,cpu,8388608,5,0.1250,1048576,24092540.45,18080496.05,0.024566,0.0000,0.0000
multiplicative,cpu,8388608,5,0.2500,2097152,25094052.20,17626811.24,0.190623,0.0000,0.0000
multiplicative,cpu,8388608,7,0.0625,524288,20345287.97,15133157.95,0.000975,0.0000,0.0000
multiplicative,cpu,8388608,7,0.1250,1048576,18563243.91,14835938.23,0.025012,0.0000,0.0000
multiplicative,cpu,8388608,7,0.2500,2097152,19629612.41,15153158.32,0.266529,0.0000,0.0000
multiplicative,cpu,67108864,3,0.0625,4194304,15352755.98,10769464.17,0.007485,0.0000,0.0000
multiplicative,cpu,67108864,3,0.1250,8388608,15159281.75,10853800.87,0.036929,0.0000,0.0000
multiplicative,cpu,67108864,3,0.2500,16777216,15395262.93,11000135.36,0.157140,0.0000,0.0000
multiplicative,cpu,67108864,5,0.0625,4194304,9388897.22,7318877.23,0.002112,0.0000,0.0000
multiplicative,cpu,67108864,5,0.1250,8388608,9488509.82,7363758.24,0.024888,0.0000,0.0000
multiplicative,cpu,67108864,5,0.2500,16777216,9410354.75,7307356.45,0.190808,0.0000,0.0000
multiplicative,cpu,67108864,7,0.0625,4194304,6987679.45,5936176.44,0.001029,0.0000,0.0000
multiplicative,cpu,67108864,7,0.1250,8388608,6949892.15,5976428.45,0.025068,0.0000,0.0000
multiplicative,cpu,67108864,7,0.2500,16777216,6979892.60,5954696.57,0.266425,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.0625,65536,63199818.70,53957435.74,0.005142,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.1250,131072,68218948.93,56758693.71,0.030296,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.2500,262144,69736583.08,56864973.02,0.146652,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.0625,65536,47509995.18,40335157.98,0.001373,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.1250,131072,49998092.72,41672190.76,0.021553,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.2500,262144,53113572.04,43037062.79,0.185810,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.0625,65536,38770668.80,31178756.43,0.000671,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.1250,131072,40720537.79,35251105.50,0.022964,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.2500,262144,41887882.04,35884978.18,0.263317,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.0625,524288,36437591.08,36303120.75,0.004908,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.1250,1048576,39942762.38,36906577.94,0.030667,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.2500,2097152,38077772.89,36024555.04,0.146279,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.0625,524288,27215066.71,23672644.49,0.001316,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.1250,1048576,26253160.82,22390511.02,0.021815,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.2500,2097152,26190946.66,23421607.52,0.184640,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.0625,524288,20064924.13,18420642.67,0.000717,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.1250,1048576,20827301.77,19121975.59,0.022876,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.2500,2097152,20628770.71,17885601.46,0.262410,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.0625,4194304,15148906.95,12745202.94,0.005003,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.1250,8388608,15292003.22,12540248.21,0.030647,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.2500,16777216,15412091.59,12550959.74,0.146889,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.0625,4194304,9212546.46,8378712.89,0.001420,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.1250,8388608,9234734.74,8417280.11,0.021719,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.2500,16777216,9250974.92,8357845.23,0.184951,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.0625,4194304,6880076.74,6279513.49,0.000701,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.1250,8388608,6817382.34,6270524.68,0.022931,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.2500,16777216,6768268.70,6254398.26,0.262819,0.0000,0.0000
murmur3,cpu,1048576,3,0.0625,65536,65528791.83,43841070.77,0.005203,0.0000,0.0000
murmur3,cpu,1048576,3,0.1250,131072,60771907.83,44092540.78,0.030746,0.0000,0.0000
murmur3,cpu,1048576,3,0.2500,262144,64600726.83,43831035.56,0.147015,0.0000,0.0000
murmur3,cpu,1048576,5,0.0625,65536,45186895.14,29414932.96,0.001328,0.0000,0.0000
murmur3,cpu,1048576,5,0.1250,131072,46542132.47,32297346.91,0.022095,0.0000,0.0000
murmur3,cpu,1048576,5,0.2500,262144,46787925.99,32471997.45,0.185848,0.0000,0.0000
murmur3,cpu,1048576,7,0.0625,65536,36885033.69,24040988.83,0.000519,0.0000,0.0000
murmur3,cpu,1048576,7,0.1250,131072,38443083.28,24811479.55,0.023026,0.0000,0.0000
murmur3,cpu,1048576,7,0.2500,262144,38275259.66,25246502.13,0.263954,0.0000,0.0000
murmur3,cpu,8388608,3,0.0625,524288,30857705.52,24408841.39,0.005144,0.0000,0.0000
murmur3,cpu,8388608,3,0.1250,1048576,38025260.87,24940859.84,0.030930,0.0000,0.0000
murmur3,cpu,8388608,3,0.2500,2097152,39356343.53,22008930.53,0.147609,0.0000,0.0000
murmur3,cpu,8388608,5,0.0625,524288,28757683.52,19860627.71,0.001577,0.0000,0.0000
murmur3,cpu,8388608,5,0.1250,1048576,29878592.57,19364373.44,0.021894,0.0000,0.0000
murmur3,cpu,8388608,5,0.2500,2097152,30747423.01,19322522.41,0.185433,0.0000,0.0000
murmur3,cpu,8388608,7,0.0625,524288,20016736.86,12223321.82,0.000982,0.0000,0.0000
murmur3,cpu,8388608,7,0.1250,1048576,20548861.97,12532233.65,0.023427,0.0000,0.0000
murmur3,cpu,8388608,7,0.2500,2097152,19226748.52,13359994.31,0.263697,0.0000,0.0000
murmur3,cpu,67108864,3,0.0625,4194304,15447431.75,9747687.54,0.006189,0.0000,0.0000
murmur3,cpu,67108864,3,0.1250,8388608,15455807.77,9682017.72,0.032664,0.0000,0.0000
murmur3,cpu,67108864,3,0.2500,16777216,15628596.98,9822884.48,0.149699,0.0000,0.0000
murmur3,cpu,67108864,5,0.0625,4194304,9379149.09,6623880.32,0.003008,0.0000,0.0000
murmur3,cpu,67108864,5,0.1250,8388608,9316863.04,6626582.97,0.025227,0.0000,0.0000
murmur3,cpu,67108864,5,0.2500,16777216,9296740.87,6628122.13,0.189449,0.0000,0.0000
murmur3,cpu,67108864,7,0.0625,4194304,6598064.14,5268374.24,0.002677,0.0000,0.0000
murmur3,cpu,67108864,7,0.1250,8388608,6575962.41,5286576.49,0.027904,0.0000,0.0000
murmur3,cpu,67108864,7,0.2500,16777216,6638004.91,5275884.14,0.268098,0.0000,0.0000
xor-shift,cpu,1048576,3,0.0625,65536,69562633.01,46000150.21,0.069992,0.0000,0.0000
xor-shift,cpu,1048576,3,0.1250,131072,67965635.54,47107109.81,0.150826,0.0000,0.0000
xor-shift,cpu,1048576,3,0.2500,262144,66771965.78,45861682.27,0.317509,0.0000,0.0000
xor-shift,cpu,1048576,5,0.0625,65536,48999757.75,33628433.92,0.066223,0.0000,0.0000
xor-shift,cpu,1048576,5,0.1250,131072,50691226.42,33272240.81,0.147850,0.0000,0.0000
xor-shift,cpu,1048576,5,0.2500,262144,51441614.83,33265058.99,0.355667,0.0000,0.0000
xor-shift,cpu,1048576,7,0.0625,65536,41764355.38,25844982.16,0.063492,0.0000,0.0000
xor-shift,cpu,1048576,7,0.1250,131072,40663676.17,25817120.98,0.148651,0.0000,0.0000
xor-shift,cpu,1048576,7,0.2500,262144,40507393.17,26505116.06,0.405075,0.0000,0.0000
xor-shift,cpu,8388608,3,0.0625,524288,32541169.74,23024637.01,0.070992,0.0000,0.0000
xor-shift,cpu,8388608,3,0.1250,1048576,33409626.66,23057322.77,0.151753,0.0000,0.0000
xor-shift,cpu,8388608,3,0.2500,2097152,35412787.43,24308717.20,0.318725,0.0000,0.0000
xor-shift,cpu,8388608,5,0.0625,524288,24292287.34,16861018.77,0.066605,0.0000,0.0000
xor-shift,cpu,8388608,5,0.1250,1048576,26810652.83,13672271.57,0.149148,0.0000,0.0000
xor-shift,cpu,8388608,5,0.2500,2097152,23836534.91,17451671.30,0.355693,0.0000,0.0000
xor-shift,cpu,8388608,7,0.0625,524288,21120791.62,12529336.06,0.064302,0.0000,0.0000
xor-shift,cpu,8388608,7,0.1250,1048576,16369163.66,13130004.85,0.148922,0.0000,0.0000
xor-shift,cpu,8388608,7,0.2500,2097152,21753934.40,12801293.41,0.405054,0.0000,0.0000
xor-shift,cpu,67108864,3,0.0625,4194304,15713692.37,9960609.74,0.070463,0.0000,0.0000
