hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
multiplicative,cpu,1048576,3,0.0625,65536,66061319.61,50458690.87,0.007477,0.0000,0.0000
multiplicative,cpu,1048576,3,0.1250,131072,71221467.29,56010491.71,0.035995,0.0000,0.0000
multiplicative,cpu,1048576,3,0.2500,262144,71692327.72,52059417.61,0.158165,0.0000,0.0000
multiplicative,cpu,1048576,5,0.0625,65536,52483340.69,38102081.91,0.001953,0.0000,0.0000
multiplicative,cpu,1048576,5,0.1250,131072,52147308.83,39927767.39,0.025269,0.0000,0.0000
multiplicative,cpu,1048576,5,0.2500,262144,54215313.87,41268579.35,0.192093,0.0000,0.0000
multiplicative,cpu,1048576,7,0.0625,65536,41343408.43,31104987.40,0.000961,0.0000,0.0000
multiplicative,cpu,1048576,7,0.1250,131072,43050845.01,32969252.56,0.025818,0.0000,0.0000
multiplicative,cpu,1048576,7,0.2500,262144,43816895.84,32460750.88,0.267872,0.0000,0.0000
multiplicative,cpu,8388608,3,0.0625,524288,30986911.08,20230636.85,0.007355,0.0000,0.0000
multiplicative,cpu,8388608,3,0.1250,1048576,34634217.17,30108348.03,0.036747,0.0000,0.0000
multiplicative,cpu,8388608,3,0.2500,2097152,35494770.98,22137235.61,0.156799,0.0000,0.0000
multiplicative,cpu,8388608,5,0.0625,524288,23308617.25,20892021.68,0.002062,0.0000,0.0000
multiplicative,cpu,8388608,5,0.1250,1048576,26302183.54,15823435.75,0.024566,0.0000,0.0000
multiplicative,cpu,8388608,5,0.2500,2097152,25313951.12,19518583.39,0.190623,0.0000,0.0000
multiplicative,cpu,8388608,7,0.0625,524288,21057238.97,11821371.67,0.000975,0.0000,0.0000
multiplicative,cpu,8388608,7,0.1250,1048576,21169022.32,14572913.59,0.025012,0.0000,0.0000
multiplicative,cpu,8388608,7,0.2500,2097152,19598447.84,14956621.38,0.266529,0.0000,0.0000
multiplicative,cpu,67108864,3,0.0625,4194304,15574190.46,10989978.88,0.007485,0.0000,0.0000
multiplicative,cpu,67108864,3,0.1250,8388608,15375055.02,11033087.81,0.036929,0.0000,0.0000
multiplicative,cpu,67108864,3,0.2500,16777216,15498535.55,11004398.76,0.157140,0.0000,0.0000
multiplicative,cpu,67108864,5,0.0625,4194304,9424500.71,7357383.67,0.002112,0.0000,0.0000
multiplicative,cpu,67108864,5,0.1250,8388608,9293660.20,7378631.49,0.024888,0.0000,0.0000
multiplicative,cpu,67108864,5,0.2500,16777216,9267818.23,7345514.46,0.190808,0.0000,0.0000
multiplicative,cpu,67108864,7,0.0625,4194304,6863469.76,6065963.73,0.001029,0.0000,0.0000
multiplicative,cpu,67108864,7,0.1250,8388608,6858705.83,5137796.04,0.025068,0.0000,0.0000
multiplicative,cpu,67108864,7,0.2500,16777216,6844661.30,5799260.34,0.266425,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.0625,65536,62219572.35,53186732.21,0.005142,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.1250,131072,63847240.49,52656803.96,0.030296,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.2500,262144,64523814.92,52748720.99,0.146652,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.0625,65536,46100006.68,41258375.41,0.001373,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.1250,131072,18407835.69,16847134.03,0.021553,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.2500,262144,41555951.30,38349114.40,0.185810,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.0625,65536,38282587.60,32887579.24,0.000671,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.1250,131072,38360152.64,33359930.26,0.022964,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.2500,262144,39460863.31,33124255.51,0.263317,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.0625,524288,29844999.41,28708543.73,0.004908,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.1250,1048576,33486348.09,30161806.00,0.030667,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.2500,2097152,33519320.38,28188860.17,0.146279,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.0625,524288,24579680.42,20884657.37,0.001316,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.1250,1048576,25264892.90,23331321.74,0.021815,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.2500,2097152,26946178.03,22664731.86,0.184640,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.0625,524288,20134290.30,18071718.34,0.000717,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.1250,1048576,20550073.34,17054969.13,0.022876,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.2500,2097152,20882925.65,16762089.35,0.262410,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.0625,4194304,14783880.55,12004670.40,0.005003,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.1250,8388608,14830867.10,11948434.44,0.030647,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.2500,16777216,14870432.22,12033578.35,0.146889,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.0625,4194304,9261789.30,8393380.12,0.001420,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.1250,8388608,9111742.39,8094222.64,0.021719,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.2500,16777216,9433202.04,8513397.97,0.184951,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.0625,4194304,6965961.05,6488731.17,0.000701,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.1250,8388608,6923548.55,6393060.39,0.022931,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.2500,16777216,6849645.92,6388778.31,0.262819,0.0000,0.0000
murmur3,cpu,1048576,3,0.0625,65536,62116722.87,44322528.63,0.005203,0.0000,0.0000
murmur3,cpu,1048576,3,0.1250,131072,63912712.96,44236784.52,0.030746,0.0000,0.0000
murmur3,cpu,1048576,3,0.2500,262144,63513815.39,43091210.47,0.147015,0.0000,0.0000
murmur3,cpu,1048576,5,0.0625,65536,46475707.98,32611189.10,0.001328,0.0000,0.0000
murmur3,cpu,1048576,5,0.1250,131072,48220394.04,33539826.88,0.022095,0.0000,0.0000
murmur3,cpu,1048576,5,0.2500,262144,48643625.47,33437886.25,0.185848,0.0000,0.0000
murmur3,cpu,1048576,7,0.0625,65536,38182063.94,25554540.87,0.000519,0.0000,0.0000
murmur3,cpu,1048576,7,0.1250,131072,38025324.30,25120536.30,0.023026,0.0000,0.0000
murmur3,cpu,1048576,7,0.2500,262144,39819930.50,25592479.71,0.263954,0.0000,0.0000
murmur3,cpu,8388608,3,0.0625,524288,33503722.91,27347943.54,0.005144,0.0000,0.0000
murmur3,cpu,8388608,3,0.1250,1048576,40610577.71,24788531.45,0.030930,0.0000,0.0000
murmur3,cpu,8388608,3,0.2500,2097152,38568095.60,26764325.94,0.147609,0.0000,0.0000
murmur3,cpu,8388608,5,0.0625,524288,26087754.39,18505912.83,0.001577,0.0000,0.0000
murmur3,cpu,8388608,5,0.1250,1048576,25413721.02,16629182.22,0.021894,0.0000,0.0000
murmur3,cpu,8388608,5,0.2500,2097152,27832010.36,16599992.62,0.185433,0.0000,0.0000
murmur3,cpu,8388608,7,0.0625,524288,21371379.36,14415070.32,0.000982,0.0000,0.0000
murmur3,cpu,8388608,7,0.1250,1048576,19406551.61,13578977.12,0.023427,0.0000,0.0000
murmur3,cpu,8388608,7,0.2500,2097152,22022731.25,14366063.19,0.263697,0.0000,0.0000
murmur3,cpu,67108864,3,0.0625,4194304,15749941.50,9814655.77,0.006189,0.0000,0.0000
murmur3,cpu,67108864,3,0.1250,8388608,15961461.28,9921645.97,0.032664,0.0000,0.0000
murmur3,cpu,67108864,3,0.2500,16777216,15850314.09,9984948.77,0.149699,0.0000,0.0000
murmur3,cpu,67108864,5,0.0625,4194304,9622692.06,6638382.56,0.003008,0.0000,0.0000
murmur3,cpu,67108864,5,0.1250,8388608,9624511.26,6680749.26,0.025227,0.0000,0.0000
murmur3,cpu,67108864,5,0.2500,16777216,9601051.72,6748246.16,0.189449,0.0000,0.0000
murmur3,cpu,67108864,7,0.0625,4194304,6856244.87,5358183.36,0.002677,0.0000,0.0000
murmur3,cpu,67108864,7,0.1250,8388608,6862426.82,5413044.59,0.027904,0.0000,0.0000
murmur3,cpu,67108864,7,0.2500,16777216,6888022.34,5300923.16,0.268098,0.0000,0.0000
xor-shift,cpu,1048576,3,0.0625,65536,68634648.47,45537579.83,0.069992,0.0000,0.0000
xor-shift,cpu,1048576,3,0.1250,131072,65132795.43,46249774.61,0.150826,0.0000,0.0000
xor-shift,cpu,1048576,3,0.2500,262144,65445162.11,46686633.53,0.317509,0.0000,0.0000
