variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
cpu,1048576,3,0.0625,65536,119459573.75,102038401.41,0.007477,0.0000,0.0000
cpu,1048576,3,0.1250,131072,145782309.75,109495661.01,0.035995,0.0000,0.0000
cpu,1048576,3,0.2500,262144,120928014.01,97654342.28,0.158165,0.0000,0.0000
cpu,1048576,5,0.0625,65536,84297072.06,74292483.58,0.001953,0.0000,0.0000
cpu,1048576,5,0.1250,131072,95501995.33,80402404.61,0.025269,0.0000,0.0000
cpu,1048576,5,0.2500,262144,85412323.05,74829805.75,0.192093,0.0000,0.0000
cpu,1048576,7,0.0625,65536,69315130.21,57541172.02,0.000961,0.0000,0.0000
cpu,1048576,7,0.1250,131072,48086775.73,48112175.60,0.025818,0.0000,0.0000
cpu,1048576,7,0.2500,262144,58361672.55,56297399.67,0.267872,0.0000,0.0000
cpu,8388608,3,0.0625,524288,46441168.07,57616110.99,0.007355,0.0000,0.0000
cpu,8388608,3,0.1250,1048576,44028606.40,47999088.88,0.036747,0.0000,0.0000
cpu,8388608,3,0.2500,2097152,49038315.39,51043076.19,0.156799,0.0000,0.0000
cpu,8388608,5,0.0625,524288,22749058.65,27375819.13,0.002062,0.0000,0.0000
cpu,8388608,5,0.1250,1048576,31904029.90,31444965.84,0.024566,0.0000,0.0000
cpu,8388608,5,0.2500,2097152,18341677.77,22438945.83,0.190623,0.0000,0.0000
cpu,8388608,7,0.0625,524288,15808539.04,18901514.58,0.000975,0.0000,0.0000
cpu,8388608,7,0.1250,1048576,16328947.46,19654748.55,0.025012,0.0000,0.0000
cpu,8388608,7,0.2500,2097152,28132783.28,36545638.74,0.266529,0.0000,0.0000
cpu,67108864,3,0.0625,4194304,17087354.28,20708237.74,0.007485,0.0000,0.0000
cpu,67108864,3,0.1250,8388608,15826024.90,19342788.89,0.036929,0.0000,0.0000
cpu,67108864,3,0.2500,16777216,14176993.03,21783164.15,0.157140,0.0000,0.0000
cpu,67108864,5,0.0625,4194304,10494492.86,14993477.38,0.002112,0.0000,0.0000
cpu,67108864,5,0.1250,8388608,10437318.92,15018283.90,0.024888,0.0000,0.0000
cpu,67108864,5,0.2500,16777216,10556309.43,15069665.70,0.190808,0.0000,0.0000
cpu,67108864,7,0.0625,4194304,7440861.06,10778551.79,0.001029,0.0000,0.0000
cpu,67108864,7,0.1250,8388608,7091501.48,10586162.42,0.025068,0.0000,0.0000
cpu,67108864,7,0.2500,16777216,7507776.50,10906826.80,0.266425,0.0000,0.0000
pim-v2,1048576,3,0.0625,65536,4770070601.94,6871762608.79,0.007477,0.0564,0.0238
pim-v2,1048576,3,0.1250,131072,9540141203.87,13743525217.57,0.035995,0.0564,0.0238
pim-v2,1048576,3,0.2500,262144,19080282407.74,27487050435.15,0.158165,0.0564,0.0238
pim-v2,1048576,5,0.0625,65536,4770070601.94,6871762608.79,0.001953,0.0564,0.0238
pim-v2,1048576,5,0.1250,131072,9540141203.87,13743525217.57,0.025269,0.0564,0.0238
