hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
multiplicative,cpu,1048576,3,0.0625,65536,63153958.98,51389942.04,0.007477,0.0000,0.0000
multiplicative,cpu,1048576,3,0.1250,131072,66133516.32,45148807.61,0.035995,0.0000,0.0000
multiplicative,cpu,1048576,3,0.2500,262144,65116438.51,49756167.37,0.158165,0.0000,0.0000
multiplicative,cpu,1048576,5,0.0625,65536,39303811.10,23920518.01,0.001953,0.0000,0.0000
multiplicative,cpu,1048576,5,0.1250,131072,39878992.67,24832322.34,0.025269,0.0000,0.0000
multiplicative,cpu,1048576,5,0.2500,262144,34425709.81,23039602.66,0.192093,0.0000,0.0000
multiplicative,cpu,1048576,7,0.0625,65536,42589999.12,33463027.07,0.000961,0.0000,0.0000
multiplicative,cpu,1048576,7,0.1250,131072,24258405.92,18892830.98,0.025818,0.0000,0.0000
multiplicative,cpu,1048576,7,0.2500,262144,39872987.60,35088287.58,0.267872,0.0000,0.0000
multiplicative,cpu,8388608,3,0.0625,524288,34737211.26,29992141.11,0.007355,0.0000,0.0000
multiplicative,cpu,8388608,3,0.1250,1048576,36778074.35,30221485.67,0.036747,0.0000,0.0000
multiplicative,cpu,8388608,3,0.2500,2097152,37851343.80,28702987.79,0.156799,0.0000,0.0000
multiplicative,cpu,8388608,5,0.0625,524288,23978598.33,19775585.16,0.002062,0.0000,0.0000
multiplicative,cpu,8388608,5,0.1250,1048576,24712723.33,18392688.50,0.024566,0.0000,0.0000
multiplicative,cpu,8388608,5,0.2500,2097152,25165179.07,18767659.13,0.190623,0.0000,0.0000
multiplicative,cpu,8388608,7,0.0625,524288,20656902.16,17258606.30,0.000975,0.0000,0.0000
multiplicative,cpu,8388608,7,0.1250,1048576,20975398.35,14065876.89,0.025012,0.0000,0.0000
multiplicative,cpu,8388608,7,0.2500,2097152,20086117.32,18106342.65,0.266529,0.0000,0.0000
multiplicative,cpu,67108864,3,0.0625,4194304,15865582.07,10847358.99,0.007485,0.0000,0.0000
multiplicative,cpu,67108864,3,0.1250,8388608,12731831.34,11128334.33,0.036929,0.0000,0.0000
multiplicative,cpu,67108864,3,0.2500,16777216,15619015.55,11056170.47,0.157140,0.0000,0.0000
multiplicative,cpu,67108864,5,0.0625,4194304,9793104.08,7525730.93,0.002112,0.0000,0.0000
multiplicative,cpu,67108864,5,0.1250,8388608,9732798.01,7323380.07,0.024888,0.0000,0.0000
multiplicative,cpu,67108864,5,0.2500,16777216,9454007.95,7271901.71,0.190808,0.0000,0.0000
multiplicative,cpu,67108864,7,0.0625,4194304,7094834.75,5995962.01,0.001029,0.0000,0.0000
multiplicative,cpu,67108864,7,0.1250,8388608,7081936.62,6133908.25,0.025068,0.0000,0.0000
multiplicative,cpu,67108864,7,0.2500,16777216,7095771.63,5962079.02,0.266425,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.0625,65536,68091755.97,61528813.00,0.005142,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.1250,131072,72956313.71,59299393.80,0.030296,0.0000,0.0000
kirsch-mitz,cpu,1048576,3,0.2500,262144,75245252.32,58596739.70,0.146652,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.0625,65536,52254895.71,46882958.57,0.001373,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.1250,131072,39323609.44,35165665.40,0.021553,0.0000,0.0000
kirsch-mitz,cpu,1048576,5,0.2500,262144,48645169.02,46405217.19,0.185810,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.0625,65536,42334085.02,37052951.53,0.000671,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.1250,131072,43277825.07,37257871.59,0.022964,0.0000,0.0000
kirsch-mitz,cpu,1048576,7,0.2500,262144,45446649.46,40650938.54,0.263317,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.0625,524288,35898646.96,36048246.21,0.004908,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.1250,1048576,38600892.86,35889650.39,0.030667,0.0000,0.0000
kirsch-mitz,cpu,8388608,3,0.2500,2097152,39190485.29,33825742.60,0.146279,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.0625,524288,26022557.80,24398288.96,0.001316,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.1250,1048576,26050955.65,25059385.96,0.021815,0.0000,0.0000
kirsch-mitz,cpu,8388608,5,0.2500,2097152,27506261.48,22690380.05,0.184640,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.0625,524288,21270406.65,20024749.06,0.000717,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.1250,1048576,21444422.26,18784115.06,0.022876,0.0000,0.0000
kirsch-mitz,cpu,8388608,7,0.2500,2097152,17177672.62,17485241.84,0.262410,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.0625,4194304,15759320.48,12643604.84,0.005003,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.1250,8388608,15524050.64,12741497.52,0.030647,0.0000,0.0000
kirsch-mitz,cpu,67108864,3,0.2500,16777216,15205840.02,12667974.21,0.146889,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.0625,4194304,9205960.15,8573065.69,0.001420,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.1250,8388608,9496514.33,8508910.72,0.021719,0.0000,0.0000
kirsch-mitz,cpu,67108864,5,0.2500,16777216,9263983.84,8558418.31,0.184951,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.0625,4194304,7023147.08,6493818.33,0.000701,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.1250,8388608,6871357.63,6518016.81,0.022931,0.0000,0.0000
kirsch-mitz,cpu,67108864,7,0.2500,16777216,6955925.37,6496273.03,0.262819,0.0000,0.0000
murmur3,cpu,1048576,3,0.0625,65536,65041295.90,46361818.28,0.005203,0.0000,0.0000
murmur3,cpu,1048576,3,0.1250,131072,70046766.61,46359538.97,0.030746,0.0000,0.0000
murmur3,cpu,1048576,3,0.2500,262144,69508331.65,47340124.78,0.147015,0.0000,0.0000
murmur3,cpu,1048576,5,0.0625,65536,51948793.15,35571477.03,0.001328,0.0000,0.0000
murmur3,cpu,1048576,5,0.1250,131072,50084332.37,37000088.64,0.022095,0.0000,0.0000
murmur3,cpu,1048576,5,0.2500,262144,52636609.33,35679355.10,0.185848,0.0000,0.0000
murmur3,cpu,1048576,7,0.0625,65536,42332006.80,29789659.62,0.000519,0.0000,0.0000
murmur3,cpu,1048576,7,0.1250,131072,38186146.39,25755453.28,0.023026,0.0000,0.0000
murmur3,cpu,1048576,7,0.2500,262144,37461146.48,25797522.36,0.263954,0.0000,0.0000
murmur3,cpu,8388608,3,0.0625,524288,33493218.19,25887543.87,0.005144,0.0000,0.0000
murmur3,cpu,8388608,3,0.1250,1048576,36788879.69,26850322.36,0.030930,0.0000,0.0000
murmur3,cpu,8388608,3,0.2500,2097152,39020846.82,25639417.79,0.147609,0.0000,0.0000
murmur3,cpu,8388608,5,0.0625,524288,29306170.18,19428562.62,0.001577,0.0000,0.0000
murmur3,cpu,8388608,5,0.1250,1048576,29444618.98,18967582.40,0.021894,0.0000,0.0000
murmur3,cpu,8388608,5,0.2500,2097152,29438723.68,18896639.84,0.185433,0.0000,0.0000
murmur3,cpu,8388608,7,0.0625,524288,22866505.75,15586950.10,0.000982,0.0000,0.0000
murmur3,cpu,8388608,7,0.1250,1048576,22483087.18,13697725.20,0.023427,0.0000,0.0000
murmur3,cpu,8388608,7,0.2500,2097152,22376947.37,14926032.60,0.263697,0.0000,0.0000
murmur3,cpu,67108864,3,0.0625,4194304,16232853.05,9952193.97,0.006189,0.0000,0.0000
murmur3,cpu,67108864,3,0.1250,8388608,15868414.33,9945120.00,0.032664,0.0000,0.0000
murmur3,cpu,67108864,3,0.2500,16777216,15977200.84,9924379.14,0.149699,0.0000,0.0000
murmur3,cpu,67108864,5,0.0625,4194304,9549038.85,6377770.51,0.003008,0.0000,0.0000
murmur3,cpu,67108864,5,0.1250,8388608,9821374.58,6846976.07,0.025227,0.0000,0.0000
murmur3,cpu,67108864,5,0.2500,16777216,9625509.60,6703711.81,0.189449,0.0000,0.0000
murmur3,cpu,67108864,7,0.0625,4194304,7058836.74,5356050.92,0.002677,0.0000,0.0000
murmur3,cpu,67108864,7,0.1250,8388608,7049339.50,5429198.56,0.027904,0.0000,0.0000
murmur3,cpu,67108864,7,0.2500,16777216,7014908.03,5363477.91,0.268098,0.0000,0.0000
xor-shift,cpu,1048576,3,0.0625,65536,66987758.71,48604050.09,0.069992,0.0000,0.0000
xor-shift,cpu,1048576,3,0.1250,131072,66106899.18,47624515.11,0.150826,0.0000,0.0000
xor-shift,cpu,1048576,3,0.2500,262144,36259931.08,32912804.00,0.317509,0.0000,0.0000
xor-shift,cpu,1048576,5,0.0625,65536,49521567.07,35973529.24,0.066223,0.0000,0.0000
xor-shift,cpu,1048576,5,0.1250,131072,50696245.67,33157165.65,0.147850,0.0000,0.0000
xor-shift,cpu,1048576,5,0.2500,262144,49697250.28,34240759.26,0.355667,0.0000,0.0000
xor-shift,cpu,1048576,7,0.0625,65536,42659195.75,27713875.88,0.063492,0.0000,0.0000
xor-shift,cpu,1048576,7,0.1250,131072,40777114.64,26653213.17,0.148651,0.0000,0.0000
xor-shift,cpu,1048576,7,0.2500,262144,40835801.74,26472365.26,0.405075,0.0000,0.0000
xor-shift,cpu,8388608,3,0.0625,524288,25883207.54,24831336.76,0.070992,0.0000,0.0000
xor-shift,cpu,8388608,3,0.1250,1048576,39407627.34,27867552.69,0.151753,0.0000,0.0000
xor-shift,cpu,8388608,3,0.2500,2097152,39530993.20,26509952.17,0.318725,0.0000,0.0000
xor-shift,cpu,8388608,5,0.0625,524288,27019284.21,17850366.31,0.066605,0.0000,0.0000
xor-shift,cpu,8388608,5,0.1250,1048576,26599884.19,20196212.06,0.149148,0.0000,0.0000
xor-shift,cpu,8388608,5,0.2500,2097152,30428047.93,18896154.93,0.355693,0.0000,0.0000
xor-shift,cpu,8388608,7,0.0625,524288,22367010.30,15491864.21,0.064302,0.0000,0.0000
xor-shift,cpu,8388608,7,0.1250,1048576,23734250.89,15435967.27,0.148922,0.0000,0.0000
xor-shift,cpu,8388608,7,0.2500,2097152,23849887.84,15426323.13,0.405054,0.0000,0.0000
xor-shift,cpu,67108864,3,0.0625,4194304,16251489.04,10173057.78,0.070463,0.0000,0.0000
xor-shift,cpu,67108864,3,0.1250,8388608,16027993.72,9969102.95,0.151258,0.0000,0.0000
xor-shift,cpu,67108864,3,0.2500,16777216,15979815.79,10141556.93,0.318604,0.0000,0.0000
xor-shift,cpu,67108864,5,0.0625,4194304,9740621.39,6827786.96,0.065887,0.0000,0.0000
xor-shift,cpu,67108864,5,0.1250,8388608,9843339.47,6858007.69,0.148656,0.0000,0.0000
xor-shift,cpu,67108864,5,0.2500,16777216,9666856.07,6808107.16,0.355567,0.0000,0.0000
xor-shift,cpu,67108864,7,0.0625,4194304,7005588.85,5351891.23,0.063707,0.0000,0.0000
xor-shift,cpu,67108864,7,0.1250,8388608,6998439.85,5278054.24,0.148903,0.0000,0.0000
xor-shift,cpu,67108864,7,0.2500,16777216,6994160.40,5239183.41,0.404993,0.0000,0.0000
h3,cpu,1048576,3,0.0625,65536,47401132.52,31813020.83,0.005020,0.0000,0.0000
h3,cpu,1048576,3,0.1250,131072,45856355.33,31143367.31,0.030525,0.0000,0.0000
h3,cpu,1048576,3,0.2500,262144,47500628.77,32163546.45,0.147812,0.0000,0.0000
h3,cpu,1048576,5,0.0625,65536,29420769.62,12481892.15,0.001495,0.0000,0.0000
h3,cpu,1048576,5,0.1250,131072,19467874.34,11433135.19,0.021423,0.0000,0.0000
h3,cpu,1048576,5,0.2500,262144,19551051.64,11533791.33,0.184978,0.0000,0.0000
h3,cpu,1048576,7,0.0625,65536,18775834.82,14873573.72,0.000595,0.0000,0.0000
h3,cpu,1048576,7,0.1250,131072,20821346.46,15208327.82,0.022957,0.0000,0.0000
h3,cpu,1048576,7,0.2500,262144,21106270.88,15393380.18,0.264248,0.0000,0.0000
h3,cpu,8388608,3,0.0625,524288,30152795.30,19295254.77,0.004953,0.0000,0.0000
h3,cpu,8388608,3,0.1250,1048576,31611790.85,19446700.70,0.030878,0.0000,0.0000
h3,cpu,8388608,3,0.2500,2097152,32741426.75,17717559.30,0.146853,0.0000,0.0000
